Requirement ID,Module,Source (WF / User Req / Cursor / Walkthrough),Description,API Endpoint(s),DB Table(s) / Schema,Audit Event(s),Permission Action,WF-064?,Test ID(s),Spec Section
REQ-DISP-004,dispatch,WF-014 + WF-064 + 8a.0.4 + Table A row 1,Border-routing 'deduct_from_driver' fires WF-064; success/blocked symmetry; cross-module liability creation,POST /api/dispatch/loads/{uuid}/border-routing,dispatch.loads + driver_finance.driver_liabilities,dispatch.border_routing_set_deduct_executed/_blocked,dispatch.load.border_routing.deduct,yes,T-141.13 + T-141.14 + T-141.15 + T-141.16 + T-141.18,8a.0.4 + 8a.0.7 (Table A)
REQ-DISP-005,dispatch,WF-040 + 8a.0.4,Load close requires complete stops + BOL+POD evidence; assembles factoring packet atomically,POST /api/dispatch/loads/{uuid}/close,dispatch.loads + accounting.invoices + documents.evidence_records,dispatch.load_closed + accounting.invoice_created + dispatch.factoring_packet_assembled,dispatch.load.close,no,T-142.1 + T-142.2 + T-142.3 + T-142.4 + T-142.5 + T-142.6,8a.0.4
REQ-DISP-006,dispatch,WF-064 + 8a.0.4 + Table A row 2,Load cancel fires WF-064 with success/blocked symmetry; reverses driver bill via cross-module accounting service,POST /api/dispatch/loads/{uuid}/cancel,dispatch.loads + accounting (reverse bill),dispatch.load_cancelled/_cancellation_blocked,dispatch.load.cancel,yes,T-142.7 + T-142.8 + T-142.9 + T-142.10 + T-142.11,8a.0.4
REQ-DISP-007,dispatch,WF-043 + 8a.0.5.2-3 + Part 4.4.2.3,Stop state transitions enforce single-in-flight invariant; backward transitions require correction source + reason,POST /api/dispatch/load-stops/{uuid}/state-transition,dispatch.load_stops + dispatch.load_stop_events,dispatch.stop_transitioned + dispatch.stop_state_corrected,dispatch.stop.transition,no,T-143.2 + T-143.3 + T-143.4 + T-143.5,8a.0.5.3
REQ-DISP-008,dispatch,WF-024 + WF-043 + 8a.0.5.16,load_stop_events append-only; UPDATE/DELETE blocked by RLS for all roles,n/a (RLS),dispatch.load_stop_events,n/a,n/a (DB),no,T-143.6 + T-143.7,8a.0.5.16
REQ-DISP-009,dispatch,WF-043 + Part 5.2.4 + 8a.0.4,Geofence webhook ingestion validates Samsara signature; ground-truth correlation with PWA events within ±60s,Samsara webhook ingest,dispatch.load_stop_events,dispatch.geofence_event_recorded,n/a (webhook auth),no,T-143.8 + T-143.9 + T-143.11 + T-143.12,Part 5.2.4 + 8a.0.5.17
REQ-DISP-010,dispatch,WF-043 + 7.2.2.7.3 + 8a.0.8.1 + Part 5.5.4.2,Detention threshold + late-arrival alerts; per-customer override; SMS exception applies for >2h late,n/a (alerting),dispatch.load_stops + master_data.customers,dispatch.stop_arrived_late + dispatch.stop_detention_threshold_exceeded,n/a (alerting),no,T-143.10 + T-143.13 + T-143.14,8a.0.8.1
REQ-DISP-011,dispatch,WF-051 + 8a.0.5.19 + 8a.0.7,PWA stop transition by assigned driver only; idempotency via client_request_id,POST /api/pwa/loads/{uuid}/respond + state-transition (PWA),dispatch.load_stops,dispatch.stop_transitioned (pwa source),dispatch.stop.transition.pwa,no,T-143.15 + T-143.16,8a.0.5.19
REQ-DISP-012,dispatch,WF-053 + 8a.0.5.10 + 8a.0.2.3.4,Multi-stop load total_revenue = base + sum(extras); CHECK constraint enforces,POST /api/dispatch/loads + PATCH (extras),dispatch.loads,n/a (DB CHECK),dispatch.load.create,no,T-143.17,8a.0.5.10
REQ-DISP-013,dispatch,WF-013 + 8a.0.4 + Part 4.4.2.10,Driver pay catalog version pinned at load creation; pay calculation uses pinned version not current,POST /api/dispatch/presettlements/compose,dispatch.loads (pinned version_id) + catalogs.driver_pay_catalog,dispatch.presettlement_composed,dispatch.presettlement.compose,no,T-144.1 + T-144.2,Part 4.4.2.10
REQ-DISP-014,dispatch,WF-041 + WF-064 + 8a.0.4,Settlement post is one-way; finalization fires WF-064; success/blocked symmetry; downstream driver_finance + accounting writes via service functions,POST /api/dispatch/settlements/post,dispatch.settlements + driver_finance.driver_settlements_lines + accounting.invoices,dispatch.settlement_posted/_post_blocked,dispatch.settlement.post,yes,T-145.1 + T-145.2 + T-145.3 + T-145.4 + T-145.5 + T-145.6,8a.0.4 + 8a.0.7
REQ-DISP-015,dispatch,WF-041 + WF-064 + 8a.0.4,Presettlement unlock is rare Owner-only WF-064; preserves audit trail,POST /api/dispatch/presettlements/{uuid}/unlock,dispatch.presettlements,dispatch.presettlement_unlocked/_unlock_blocked,dispatch.presettlement.unlock,yes,T-145.7 + T-145.8 + T-145.9,8a.0.4
REQ-DISP-016,dispatch,WF-041 + WF-064 + Part 4.4.2.5-6,Settled state immutability; corrections require Owner reversal flow (Phase 2),n/a (read-only enforcement),dispatch.settlements,dispatch.settlement_modification_blocked,n/a (DB),yes,T-145.10 + T-145.11 + T-145.12,Part 4.4.2.5
REQ-DISP-017,dispatch,WF-042 + 8a.0.4,Per-load profitability rollup uses canonical references only; reads pinned catalog version,GET /api/dispatch/loads/{uuid}/profitability,dispatch.loads + dispatch.settlements + accounting.journal_entry_lines,n/a,dispatch.load.profitability.read,no,T-145.13 + T-145.14,8a.0.4
REQ-DISP-018,dispatch,WF-052 + Part 4.4.2.7,NB/SB cycle counters append-only; rollback is one-way Owner action,n/a (cycle increments),dispatch.nb_sb_cycles,dispatch.cycle_incremented + dispatch.cycle_rollback_executed/_blocked,dispatch.cycle.rollback,yes,T-145.15 + T-145.16 + T-145.17 + T-145.18,Part 4.4.2.7
REQ-DISP-019,dispatch,WF-048 + WF-058 + Part 3.17,In-transit issue capture from PWA + office; chain-of-custody photos to R2,POST /api/dispatch/intransit-issues,dispatch.intransit_issues + documents.evidence_records,dispatch.intransit_issue_created,dispatch.intransit_issue.create,no,T-146.1 + T-146.2 + T-146.3 + T-146.4 + T-146.5,8a.0.4
REQ-DISP-020,dispatch,WF-049 + Part 4.4.2.8,Promote intransit_issue to maintenance work order is one-way; promoted_to_wo_uuid set; reverse promotion forbidden,POST /api/dispatch/intransit-issues/{uuid}/convert-to-wo,dispatch.intransit_issues + maintenance.work_orders,dispatch.intransit_issue_promoted_to_wo,dispatch.intransit_issue.convert_to_wo,no,T-146.6 + T-146.7 + T-146.8 + T-146.9 + T-146.10,8a.0.4 + Part 4.4.2.8
REQ-DISP-021,dispatch,WF-051 + WF-024 + 8a.0.2.7,PWA load acceptance offline-first; queued for sync; controlled-vocabulary rejection reasons,POST /api/pwa/loads/{uuid}/respond,dispatch.load_acceptance_events,dispatch.load_acceptance_recorded,dispatch.load.respond.pwa,no,T-147.1 + T-147.2 + T-147.3 + T-147.4 + T-147.5,8a.0.2.7
REQ-DISP-022,dispatch,WF-024 + 8a.0.7,Driver self-access scope on PWA: own loads + own intransit issues + own equipment only,GET endpoints (PWA),dispatch.* tables (RLS),n/a,dispatch.{action}.pwa,no,T-147.6 + T-147.7 + T-147.8 + T-147.9 + T-147.10 + T-147.11,8a.0.7
REQ-DISP-023,dispatch,WF-064 + 8a.0.7 + Part 6.4.5.4,All 6 dispatch WF-064 actions trigger 2-step confirmation modal with typed phrase + reason; lightning-bolt UI marker,UI rendering,n/a,n/a,n/a (UI),yes,T-141.18 + T-148.1 + T-148.2,Part 6.8 + Part 6.4.5.4
REQ-DISP-024,dispatch,Cursor Part 7 pattern + 8a.0.4 Contract Profile Mapping,Standard CRUD on dispatch entities not given full endpoint specs covered by Contract Profiles A/B/C,GET/POST/PATCH endpoints per Profile mapping,dispatch.* tables,dispatch.{entity}_{action} (sampled),dispatch.{action} per profile,no/yes per profile,T-149.1 + T-149.2 + T-149.3 + T-149.4 + T-149.5 + T-149.6,8a.0.4 Contract Profile Mapping
REQ-DRVFN-001,driver_finance,WF-046 + Part 4.5.4.3,Live recompute endpoint mandatory for transactional contexts; returns total_active_debt + computed_at; cache drift detection with delta,POST /api/driver-finance/drivers/{uuid}/recompute-debt,driver_finance.driver_liabilities + master_data.drivers (cache),driver_finance.live_debt_recompute + audit.cache_drift_detected,driver_finance.debt.recompute,no,T-150.1 + T-150.2 + T-150.3 + T-150.4 + T-150.5 + T-150.6,Part 4.5.4.3 + 8b.1.4
REQ-DRVFN-002,driver_finance,WF-046 + Part 4.5.4.3 + 8b.1.5.12,All transactional endpoints (settlement compose / advance create / escrow forfeit) internally call recompute-debt before decisions,POST endpoints in 8b.1.4,driver_finance.driver_liabilities,driver_finance.live_debt_recompute (cascaded),driver_finance.debt.recompute,no,T-150.7 + T-150.8 + T-150.9,Part 4.5.4.3 + 8b.1.5.12
REQ-DRVFN-003,driver_finance,WF-055 + Part 4.5.4.5 + 8b.1.5.13,UI 5-second freshness contract; computed_at displayed; debt masked + Finalize disabled when stale,UI rendering,n/a,n/a,n/a (UI),no,T-150.10 + T-150.11,Part 4.5.4.5
REQ-DRVFN-004,driver_finance,WF-064 + Part 4.2.2.7 + 8b.1.5.15,Direct UPDATE to debt cache columns blocked by trigger; only via recompute_driver_debt(),n/a (DB trigger),master_data.drivers (cache columns),n/a,n/a (DB),yes,T-150.12,Part 4.2.2.7
REQ-DRVFN-005,driver_finance,WF-024 + Part 4.5.3.1 + 8b.1.7.2.1,Driver self-access scope on liabilities/escrow/deductions/advances/settlement_lines via RLS,GET endpoints (driver caller),driver_finance.* tables,n/a,driver_finance.{action} (self),no,T-151.1 + T-151.3 + T-153.7 + T-154.6 + T-155.1 + T-156.4,8b.1.7.2.1
REQ-DRVFN-006,driver_finance,WF-035 + 8b.1.4 + 8b.1.6,Liability create posts JE + creates deduction schedule + queues PWA push atomically,POST /api/driver-finance/liabilities,driver_finance.driver_liabilities + driver_finance.deduction_schedules + accounting.journal_entry_lines,driver_finance.liability_created + driver_finance.deduction_schedule_created + accounting.journal_entry_posted,driver_finance.liability.create,no,T-151.4 + T-151.5 + T-151.6 + T-151.8,8b.1.4
REQ-DRVFN-007,driver_finance,WF-056 + 8b.1.5.2,Liability bucket_routing computed at insert per forfeiture clause status; immutable thereafter,POST /api/driver-finance/liabilities,driver_finance.driver_liabilities,n/a,driver_finance.liability.create,no,T-151.7,8b.1.5.2
REQ-DRVFN-008,driver_finance,WF-036 + 8b.1.4,Liability acknowledgment via PWA tap or signed PDF; idempotent; updates pending_ack count,POST /api/driver-finance/liabilities/{uuid}/acknowledge,driver_finance.driver_liabilities + documents.evidence_records,driver_finance.liability_acknowledged,driver_finance.liability.acknowledge,no,T-151.9 + T-151.10 + T-151.11 + T-151.12 + T-151.13,8b.1.4
REQ-DRVFN-009,driver_finance,WF-064 + Part 4.5.2.1 + 8b.1.5.3,Liability current_balance monotonic non-increasing; UPDATE increase blocked by trigger; balance correction via WF-064,n/a (DB trigger) + PATCH endpoint,driver_finance.driver_liabilities,driver_finance.liability_balance_corrected/_blocked,driver_finance.liability.balance_correction,yes,T-152.1 + T-152.2 + T-152.3 + T-152.9,Part 4.5.2.1
REQ-DRVFN-010,driver_finance,WF-011 + 8b.1.5.11,Settlement compose blocked when pending_ack > 0; UI red banner + acknowledgment lock,POST /api/driver-finance/settlements/from-dispatch + UI,driver_finance.driver_liabilities + dispatch.settlements,driver_finance.settlement_blocked_by_pending_ack,driver_finance.settlement.compose,no,T-152.4 + T-152.5,8b.1.5.11
REQ-DRVFN-011,driver_finance,WF-037 + WF-064 + Part 4.5.2.8,Liability disposition is one-way to terminal; success/blocked symmetry; cancels deduction schedule,POST /api/driver-finance/liabilities/{uuid}/dispose,driver_finance.driver_liabilities + driver_finance.driver_liability_dispositions,driver_finance.liability_dispositioned/_blocked,driver_finance.liability.dispose,yes,T-152.6 + T-152.7 + T-152.8 + T-152.10,8b.1.4
REQ-DRVFN-012,driver_finance,WF-016 + WF-064 + 8b.1.5.7,Escrow forfeit pre-clause requires Owner + active clause + sufficient pre-clause balance,POST /api/driver-finance/escrow/forfeit,driver_finance.escrow_ledger,driver_finance.escrow_forfeited/_blocked,driver_finance.escrow.forfeit,yes,T-153.1 + T-153.2 + T-153.3 + T-153.4,8b.1.4
REQ-DRVFN-013,driver_finance,WF-016 + WF-064 + 8b.1.7.3 Profile C,Escrow refund post-clause AFTER clause active fires WF-064; routine pre-clause refund does not,POST /api/driver-finance/escrow/refund-after-clause + refund-post-clause,driver_finance.escrow_ledger,driver_finance.escrow_refunded_post_clause/_blocked,driver_finance.escrow.refund_after_clause_active,yes,T-153.5 + T-153.6 + T-153.9,8b.1.7.3 Profile C
REQ-DRVFN-014,driver_finance,WF-016 + Part 4.5.2.2-3 + 8b.1.5.6,Escrow ledger append-only; UPDATE/DELETE blocked by RLS; balance computed via SUM,n/a (DB RLS),driver_finance.escrow_ledger,n/a,n/a (DB),no,T-153.10 + T-153.11,Part 4.5.2.2
REQ-DRVFN-015,driver_finance,WF-017 + WF-064 + 8b.1.4,Deduction schedule override fires WF-064; Manager allowed within ±10% delta; pause variant Owner-only,POST /api/driver-finance/deduction-schedules/{uuid}/override,driver_finance.deduction_schedules + driver_finance.deduction_schedule_overrides,driver_finance.deduction_schedule_overridden/_blocked + _paused/_pause_blocked,driver_finance.deduction_schedule.override + .pause,yes,T-154.1 + T-154.2 + T-154.3 + T-154.4 + T-154.5,8b.1.4
REQ-DRVFN-016,driver_finance,WF-017 + Part 4.5.2.5 + 8b.1.5.8,applied_amount cap on deduction schedules; trigger blocks overapplication; transitions to completed at equality,n/a (DB trigger),driver_finance.deduction_schedules,driver_finance.deduction_schedule_completed,n/a (DB),no,T-154.7 + T-154.8 + T-154.9,8b.1.5.8
REQ-DRVFN-017,driver_finance,WF-015 + 8b.1.4 + 8b.1.6,Standard advance within policy creates AP bill line + optional deduction schedule atomically,POST /api/driver-finance/advances (above_policy=false),driver_finance.driver_advances + accounting.bills + accounting.bill_lines,driver_finance.advance_issued,driver_finance.advance.create,no,T-155.1 + T-155.2 + T-155.3,8b.1.4
REQ-DRVFN-018,driver_finance,WF-054 + WF-064 + 8b.1.5.10,Above-policy advance fires WF-064; requires Owner + ≥30-char reason; explicit above_policy flag,POST /api/driver-finance/advances (above_policy=true),driver_finance.driver_advances,driver_finance.advance_above_policy_issued/_blocked,driver_finance.advance.create.above_policy,yes,T-155.4 + T-155.5 + T-155.6 + T-155.9,8b.1.4
REQ-DRVFN-019,driver_finance,WF-064 + 8b.1.7.3 Profile C,Advance write-off fires WF-064 with success/blocked symmetry,POST /api/driver-finance/advances/{uuid}/write-off,driver_finance.driver_advances,driver_finance.advance_written_off/_blocked,driver_finance.advance.write_off,yes,T-155.7 + T-155.8,8b.1.7.3
REQ-DRVFN-020,driver_finance,WF-041 + 8b.1.4,Internal settlement compose endpoint; service-only; verified end-to-end with dispatch.settlement.post chain,POST /api/driver-finance/settlements/from-dispatch,driver_finance.driver_settlement_lines + driver_finance.deduction_schedules + accounting.journal_entry_lines,driver_finance.settlement_lines_created + driver_finance.deduction_applied,driver_finance.settlement.compose,no,T-156.5 + T-156.6 + T-156.7 + T-159.3,8b.1.4
REQ-DRVFN-021,driver_finance,WF-064 + Part 4.5.2.9 + 8b.1.7.3 Profile C,Settlement lines one-way; Owner reversal flow inserts NEW reversal lines; does not modify originals,POST /api/driver-finance/settlements/{uuid}/owner-adjustment,driver_finance.driver_settlement_lines,driver_finance.settlement_adjusted_post_finalization/_blocked,driver_finance.settlement.adjustment_post_finalization,yes,T-156.1 + T-156.2 + T-156.8 + T-156.9,Part 4.5.2.9
REQ-DRVFN-022,driver_finance,WF-046 + WF-064 + 8b.1.7.3 Profile C,Owner force-recompute for cache drift debugging; emits WF-064 with success/blocked symmetry,POST /api/driver-finance/drivers/{uuid}/force-recompute,master_data.drivers (cache) + driver_finance.driver_liabilities,driver_finance.debt_force_recomputed/_blocked,driver_finance.recompute_driver_debt.force,yes,T-156.3,8b.1.7.3
REQ-DRVFN-023,driver_finance,WF-064 + 8b.1.7.1 Tables A and B,All 10 originated WF-064 actions display lightning-bolt + 2-step modal + success/blocked pairs; 3 inherited from cross-modules tracked explicitly,UI rendering + audit verification,driver_finance.* tables,driver_finance.{action}_executed/_blocked + cross-module audits,n/a (UI/audit),yes,T-157.1 + T-157.2 + T-157.3 + T-157.4 + T-157.5 + T-157.6 + T-159.6,8b.1.7.1
REQ-DRVFN-024,driver_finance,Cursor Part 7 pattern + 8b.1.7.3,Contract Profile Mapping for actions not given full endpoint specs; 24 of 24 permission actions have API mapping artifact,GET/POST/PATCH endpoints per Profile mapping,driver_finance.* tables,driver_finance.{entity}_{action} (sampled where info),driver_finance.{action} per profile,no/yes per profile,T-158.1 + T-158.2 + T-158.3,8b.1.7.3
REQ-DRVFN-025,driver_finance,Part 4.5.4.6 + 8b.1.5.14 + 8b.1.8.3,Cache drift reconciliation job daily; persistent drift escalates to critical Owner notification,n/a (cron),master_data.drivers (cache) + driver_finance.driver_liabilities,audit.cache_drift_detected,n/a (cron),no,T-150.4 + T-150.5 + T-159.1,Part 4.5.4.6
REQ-MAINT-001,maintenance,WF-001 + WF-002 + WF-003 + WF-004 + 9.1.4,Work order creation per type (PM/Repair/Tire/Accident); Accident type atomically creates safety.accident_records via service function,POST /api/maintenance/work-orders,maintenance.work_orders + safety.accident_records,maintenance.work_order_created + safety.accident_record_created,maintenance.work_order.create,no,T-161.1 + T-161.2 + T-161.3 + T-161.4 + T-161.5 + T-161.6,9.1.4 + Part 4.8.2.1
REQ-MAINT-002,maintenance,WF-001..4 + 9.1.5.3 + Part 4.8.2.2,Work order status DAG transitions (open→in_progress→completed→closed); backward forbidden,POST /api/maintenance/work-orders/{uuid}/status-transition,maintenance.work_orders + maintenance.wo_status_history,maintenance.work_order_status_changed,maintenance.work_order.transition,no,T-162.1 + T-162.2 + T-162.3 + T-162.4,9.1.4
REQ-MAINT-003,maintenance,WF-001 + 9.1.5.5 + Part 4.8.2.3,PM completion triggers maintenance.recompute_pm_due() updating master_data.units PM-due fields,trigger on WO close,maintenance.work_orders + master_data.units (PM-due cols),master_data.unit_pm_due_recomputed,n/a (DB),no,T-162.4,Part 4.8.2.3
REQ-MAINT-004,maintenance,WF-064 + 9.1.7.1 Table A row 1,High-cost (>$5000) WO cancellation fires WF-064; Manager+Admin allowed for ≤$5000; Owner only above threshold,POST /api/maintenance/work-orders/{uuid}/status-transition (cancelled),maintenance.work_orders,maintenance.work_order_cancelled_high_cost/_blocked,maintenance.work_order.cancel,yes,T-162.5 + T-162.6,9.1.7.1
REQ-MAINT-005,maintenance,WF-064 + WF-027 + 9.1.7.1 Table A row 2,Severity escalation on accident WO fires WF-064; Owner+Admin only; updates linked safety.accident_records,POST /api/maintenance/work-orders/{uuid}/escalate-severity,maintenance.work_orders + safety.accident_records,maintenance.severity_escalated/_blocked,maintenance.work_order.escalate_severity,yes,T-162.7 + T-162.8 + T-162.9,9.1.7.1
REQ-MAINT-006,maintenance,WF-026 + WF-058 + 9.1.5.9 + Part 3.17,Photo attachment via documents.evidence_create() chain-of-custody; equipment_damage_case_uuid for AI comparison cross-reference,POST /api/maintenance/work-orders/{uuid}/photos,maintenance.work_orders + documents.evidence_records,maintenance.work_order_photos_attached,maintenance.work_order.attach_photo,no,T-163.1 + T-163.2 + T-163.3 + T-163.4,9.1.4 + Part 3.17
REQ-MAINT-007,maintenance,WF-044 + 9.1.4,PM-due read API consumed by Dispatch for maintenance-due alert; warning bands per thresholds,GET /api/maintenance/units/{unit_uuid}/pm-due,master_data.units (PM-due cols),maintenance.pm_due_read (sampled),maintenance.pm_due.read,no,T-160.5 + T-160.6,9.1.4
REQ-MAINT-008,maintenance,WF-005 + WF-049 + 9.1.5.8 + Part 4.8.2.4,In-transit issue triage: acknowledge or promote to WO; promotion atomically updates dispatch.intransit_issues + creates maintenance.work_orders,POST /api/maintenance/intransit-queue/{uuid}/promote OR /acknowledge,maintenance.work_orders + dispatch.intransit_issues,maintenance.intransit_issue_promoted_to_wo + maintenance.intransit_issue_acknowledged,maintenance.intransit_issue.promote_to_wo + .acknowledge,no,T-165.1 + T-165.2 + T-165.3 + T-165.4 + T-165.5,9.1.5.8
REQ-MAINT-009,maintenance,WF-064 + 9.1.7.1 Table B row 2,Inherited WF-064: master_data.unit.retire blocked by maintenance.has_open_wo() check,POST /api/units/{uuid}/retire (cross-module),maintenance.work_orders (read for check),master_data.unit_retired/_blocked (cross-module),master_data.unit.retire,yes (inherited),T-165.6 (also tested in Part 7 T-132.6/7),9.1.7.1
REQ-MAINT-010,maintenance,9.1.7.3 Profile Mapping,Contract Profile Mapping for 16 of 16 permission actions; 4 FULL endpoints + 12 Profile A/B/C,GET/POST/PATCH endpoints per profile,maintenance.* tables,maintenance.{action} (sampled where info),maintenance.{action} per profile,no/yes per profile,T-160.1..4 + T-161.7..10 + T-164.1 + T-164.2,9.1.7.3
REQ-SAFETY-001,safety,WF-006 + 9.2.4 + 9.2.5.2,Roadside DOT inspection records; OOS outcome auto-blocks unit dispatch via service function,POST /api/safety/roadside-inspections,safety.roadside_inspections + master_data.units (is_dispatch_blocked),safety.roadside_inspection_recorded + safety.unit_dispatch_blocked_by_oos,safety.roadside_inspection.create,no,T-166.1 + T-166.2 + T-166.3 + T-166.4 + T-166.5,9.2.4
REQ-SAFETY-002,safety,WF-007 + WF-027 + 9.2.4,Multi-policy claim creation per accident; each claim independent; bound to one carrier vendor,POST /api/safety/accidents/{uuid}/claims,safety.insurance_claims + safety.accident_records,safety.claim_created,safety.claim.create,no,T-167.4 + T-167.10,9.2.4
REQ-SAFETY-003,safety,WF-064 + WF-007 + 9.2.7.1 Table A row 1,Claim terminal transition (denied/closed_with_settlement/closed_without_payment) fires WF-064; Owner only,POST /api/safety/claims/{uuid}/status-transition (terminal targets),safety.insurance_claims + safety.claim_status_history,safety.claim_terminal_transitioned/_blocked,safety.claim.transition.terminal,yes,T-167.5 + T-167.6 + T-167.7,9.2.7.1
REQ-SAFETY-004,safety,WF-064 + WF-027 + 9.2.7.1 Table A row 2,Claim carrier rebind fires WF-064 with success/blocked symmetry,POST /api/safety/claims/{uuid}/rebind-carrier,safety.insurance_claims,safety.claim_carrier_rebound/_blocked,safety.claim.rebind_carrier,yes,T-167.8,9.2.7.1
REQ-SAFETY-005,safety,WF-004 + WF-007 + 9.2.5.3 + Part 4.8.6.1,Accident records ONLY created via safety.create_accident_from_wo() service function from accident WO; direct INSERT blocked,n/a (service function),safety.accident_records,n/a (DB),n/a (DB),no,T-167.9,Part 4.8.6.1
REQ-SAFETY-006,safety,WF-050 + 9.2.4 + 9.2.5.6,DVIR PWA submission with major defect blocks unit dispatch via service function; idempotent via client_request_id,POST /api/pwa/safety/dvir,safety.dvir_records + safety.dvir_defects + master_data.units (is_dispatch_blocked),safety.dvir_submitted + safety.unit_dispatch_blocked_by_dvir,safety.dvir.create.pwa,no,T-168.2 + T-168.3 + T-168.4 + T-168.5 + T-168.6 + T-168.7 + T-168.8,9.2.4 + 9.2.5.6
REQ-SAFETY-007,safety,WF-050 + 9.2.5.7,Major defect followup WO closure auto-clears unit dispatch block via safety.clear_unit_dispatch_block(); multiple block sources tracked separately,trigger on WO close,master_data.units (is_dispatch_blocked) + safety.dvir_records,safety.unit_dispatch_block_cleared,n/a (DB),no,T-169.1 + T-169.2 + T-169.3 + T-169.4,9.2.5.7
REQ-SAFETY-008,safety,WF-064 + 9.2.7.1 Table A row 3,Unit dispatch block override fires WF-064; Owner only; high-risk override of operational safety check,POST /api/safety/units/{uuid}/dispatch-block-override,master_data.units (is_dispatch_blocked) + safety.* tables,safety.unit_dispatch_block_overridden/_blocked,safety.unit_dispatch_block.override,yes,T-169.5 + T-169.6,9.2.7.1
REQ-SAFETY-009,safety,WF-027 + WF-064 + 9.2.7.1 Table B row 1,Inherited WF-064: maintenance.severity_escalated triggers safety.update_accident_severity() to keep accident_records.severity in sync,cross-module service call,safety.accident_records,maintenance.severity_escalated (originating),maintenance.work_order.escalate_severity (originating),yes (inherited),T-170.1 + T-170.2 + T-171.1,9.2.7.1
REQ-SAFETY-010,safety,WF-050 + 9.2.5.9 + Part 4.8.6.4,DVIR + roadside append-only; UPDATE/DELETE blocked by RLS for all roles; corrections via new record with corrects_*_uuid linkage,n/a (DB RLS),safety.dvir_records + safety.dvir_defects + safety.roadside_inspections,n/a,n/a (DB),no,T-166.5 + T-168.7,Part 4.8.6.4 + 4.8.6.6
REQ-SAFETY-011,safety,9.2.7.3 Profile Mapping,Contract Profile Mapping for 12 of 12 permission actions; 4 FULL endpoints + 8 Profile A/B/C,GET/POST endpoints per profile,safety.* tables,safety.{action} (sampled where info),safety.{action} per profile,no/yes per profile,T-167.1..3 + T-168.1 + T-172.1 + T-172.2 + T-172.3,9.2.7.3
REQ-FUEL-001,fuel,WF-022 + 9.3.4 + 9.3.5.1,Manual fuel transaction entry with reason ≥10 chars; Owner+Admin+Manager+Accountant role required,POST /api/fuel/transactions,fuel.fuel_transactions,fuel.transaction_recorded,fuel.transaction.manual_create,no,T-173.3 + T-173.4 + T-173.5 + T-173.6,9.3.4
REQ-FUEL-002,fuel,WF-022 + 9.3.5.2 + Part 4.8.7.2,Relay webhook ingest idempotent via relay_external_uuid UNIQUE constraint; duplicate webhooks return original transaction,Relay webhook endpoint,fuel.fuel_transactions,fuel.transaction_recorded (sampled),n/a (webhook),no,T-174.1 + T-174.2 + T-174.3,9.3.5.2
REQ-FUEL-003,fuel,WF-022 + 9.3.5.5 + Part 4.8.7.6,Fuel-card overage detection auto-creates driver_finance.driver_liabilities via service function; cross-module audit chain,trigger on transaction insert,fuel.fuel_transactions + driver_finance.driver_liabilities,fuel.transaction_overage_detected + driver_finance.liability_created,n/a (service function),no,T-178.1 + T-178.2 + T-178.3,9.3.5.5
REQ-FUEL-004,fuel,WF-019 + WF-064 + 9.3.7.1 Table A row 1,IFTA quarterly filing finalization fires WF-064 with success/blocked symmetry; Owner only; one-way per Part 4.8.7.4,POST /api/fuel/ifta/{quarter}/file,fuel.ifta_quarterly_filings,fuel.ifta_quarterly_filed/_blocked,fuel.ifta.file,yes,T-176.1 + T-176.2 + T-176.5,9.3.4 + 9.3.7.1
REQ-FUEL-005,fuel,WF-019 + WF-064 + 9.3.7.1 Table A row 2,IFTA filing reopen fires WF-064; Owner only; reason ≥20 chars; rare correction flow,POST /api/fuel/ifta/{quarter}/reopen,fuel.ifta_quarterly_filings,fuel.ifta_filing_reopened/_blocked,fuel.ifta.reopen,yes,T-176.3 + T-176.4,9.3.7.1
REQ-FUEL-006,fuel,WF-019 + 9.3.5.6 + Part 4.8.7.3,Per-state IFTA aggregations recomputed async via outbox on transaction insert/update/delete; aggregates append-only,trigger on transaction change,fuel.ifta_state_quarterly,fuel.ifta_quarterly_recomputed (sampled),n/a (DB),no,T-176.6 + T-176.7,Part 4.8.7.3
REQ-FUEL-007,fuel,WF-020 + WF-064 + 9.3.7.1 Table A row 3,Form 425C monthly run fires WF-064; Accountant or Owner; Owner-only re-run for completed months,POST /api/fuel/form-425c/{month}/run,fuel.form_425c_runs,fuel.form_425c_run_completed/_blocked,fuel.form_425c.run,yes,T-177.1 + T-177.2 + T-177.4,9.3.7.1
REQ-FUEL-008,fuel,WF-064 + 9.3.7.1 Table A row 4,Fuel transaction deletion fires WF-064; Owner only; affects historical IFTA + 425C aggregations,DELETE /api/fuel/transactions/{uuid},fuel.fuel_transactions,fuel.transaction_deleted/_blocked,fuel.transaction.delete,yes,T-175.3 + T-175.5 + T-175.6 + T-175.7,9.3.7.1
REQ-FUEL-009,fuel,9.3.7.3 Profile Mapping,Contract Profile Mapping for 10 of 10 permission actions; 2 FULL endpoints + 8 Profile A/B/C,GET/POST/PATCH/DELETE endpoints per profile,fuel.* tables,fuel.{action} (sampled where info),fuel.{action} per profile,no/yes per profile,T-173.1 + T-173.2 + T-174.1 + T-175.1 + T-175.2 + T-175.4 + T-179.1 + T-179.2 + T-179.3,9.3.7.3
